id,edad,genero,experiencia_anios,nivel,educacion,ubicacion,remoto,lenguaje_principal,framework_principal,bd_principal,conocimientos,horas_semanales,salario_actual,satisfaccion_laboral,busca_trabajo,fecha_encuesta
4,31,Femenino,9,Lead,Bootcamp,Madrid,No,R,FastAPI,SQL Server,"SQL Server, AWS, Pandas, Vue.js, Postman, GitHub Actions, Django, Rust, MongoDB, Grafana, Redis, BigQuery, Kotlin, R, FastAPI, Angular",55.0,72800.0,7,Sí,18/05/2025
1,22,Masculino,0,Junior,Autodidacta,Sevilla,No,C#,React,InfluxDB,"C++, Confluence, React, InfluxDB, DynamoDB, Scala, TypeScript, Ruby on Rails, C#, Angular",40.0,23400.0,6,No,18/05/2025
5,38,Masculino,14,Staff,Doctorado,Málaga,No,TypeScript,Flask,Couchbase,"C++, Jira, React, Pandas, SonarQube, Flask, Scala, Spring Boot, Rust, Couchbase, Google Cloud, Docker, Kotlin, TypeScript, Azure, PyTorch",40.0,76300.0,5,Sí,18/05/2025
2,34,Masculino,12,Staff,Grado Superior,Remoto (España),Sí,Rust,TensorFlow,BigQuery,"InfluxDB, TensorFlow, Ansible, Rust, BigQuery, TypeScript, Go, R, Prometheus",35.0,83800.0,6,Sí,18/05/2025
5,55,Prefiero no decirlo,25,Principal,Bootcamp,Sevilla,No,JavaScript,FastAPI,Cassandra,"Jira, DynamoDB, PostgreSQL, Scala, Git, ELK Stack, Docker, Cassandra, Go, JavaScript, FastAPI",37.5,122300.0,10,No,18/05/2025
1,26,Femenino,4,Senior,Grado Superior,Valencia,No,TypeScript,Spring Boot,BigQuery,"SQL Server, Spring Boot, Scala, BigQuery, TypeScript",37.5,42600.0,5,No,18/05/2025
1,50,Masculino,13,Staff,Doctorado,Bilbao,No,Swift,Flutter,MongoDB,"Flutter, Dart, React, AWS, DynamoDB, Neo4j, MongoDB, Swift, Redis, Angular",40.0,86000.0,5,No,18/05/2025
1,35,Femenino,7,Senior,Bootcamp,Remoto (España),Sí,Java,React,BigQuery,"React, Next.js, Java, Grafana, BigQuery, TypeScript, Ruby on Rails, Python",42.5,52700.0,7,No,18/05/2025
1,48,Masculino,25,Principal,Grado Universitario,Sevilla,No,Java,Angular,MySQL,"Kubernetes, DynamoDB, Next.js, PostgreSQL, Java, Scala, Spring Boot, MySQL, ASP.NET, Cassandra, TypeScript, JavaScript, Python, Angular",35.0,118600.0,9,Sí,18/05/2025
1,46,Masculino,17,Principal,Grado Universitario,Valencia,No,Ruby,Flutter,Cassandra,"Flutter, PHP, Flask, PostgreSQL, Ruby, Java, ELK Stack, Cassandra, Elasticsearch, Angular",37.5,89400.0,6,Sí,18/05/2025
6,47,No binario,23,Principal,Grado Universitario,Remoto (España),Sí,PHP,ASP.NET,InfluxDB,"Symfony, Kubernetes, PHP, InfluxDB, Docker, ASP.NET, Express.js, Prometheus",50.0,99200.0,8,No,18/05/2025
3,28,Masculino,6,Senior,Autodidacta,Málaga,No,Rust,Spring Boot,MongoDB,"C++, SQLite, Dart, TensorFlow, Neo4j, Flask, Spring Boot, Django, Rust, MongoDB, Couchbase, JavaScript, Ruby on Rails",37.5,48200.0,8,No,18/05/2025
2,50,Masculino,21,Principal,Bootcamp,Remoto (España),Sí,Scala,Spring Boot,MySQL,"React, Spring Boot, Scala, MySQL, Kotlin, R, Python, Angular",60.0,102500.0,7,No,18/05/2025
6,43,Femenino,16,Principal,Grado Universitario,Híbrido (Barcelona),Sí,R,Express.js,Firebase,"Jira, AWS, Postman, Git, Google Cloud, R, Express.js, Firebase",55.0,90600.0,9,No,18/05/2025
2,24,Masculino,2,Semisenior,Bootcamp,Madrid,No,R,Flutter,Firebase,"Flutter, Confluence, React, InfluxDB, TensorFlow, Spring Boot, Django, MySQL, Azure, R, Firebase",40.0,31100.0,8,No,18/05/2025
1,34,Prefiero no decirlo,2,Semisenior,Grado Universitario,Las Palmas,No,C++,Django,Oracle,"C++, Jira, Oracle, InfluxDB, Java, Django, MySQL, JavaScript",40.0,32500.0,5,Sí,18/05/2025
1,62,Masculino,21,Principal,Grado Universitario,Valencia,No,C#,Pandas,Couchbase,"Flutter, React, Pandas, Neo4j, Next.js, Rust, Couchbase, C#",45.0,112100.0,7,Sí,18/05/2025
5,44,Masculino,10,Lead,Grado Universitario,Remoto,Sí,Java,PyTorch,MongoDB,"Flutter, Jira, SonarQube, TensorFlow, Vue.js, Next.js, Java, GitHub Actions, MongoDB, MariaDB, Kotlin, Elasticsearch, PyTorch, Angular",35.0,60300.0,10,No,18/05/2025
4,36,Femenino,14,Staff,Grado Superior,Híbrido (Madrid),Sí,TypeScript,Vue.js,MySQL,"Confluence, Kubernetes, Vue.js, Jenkins, MySQL, Go, TypeScript, Azure, R",40.0,75200.0,10,No,18/05/2025
1,61,Masculino,0,Junior,Autodidacta,Las Palmas,No,JavaScript,Pandas,SQL Server,"Symfony, SQL Server, PHP, Pandas, Vue.js, React, Flask, Cassandra, TypeScript, JavaScript, PyTorch",37.5,21600.0,6,Sí,18/05/2025
3,51,Masculino,9,Lead,Grado Universitario,Remoto (España),Sí,Rust,Pandas,BigQuery,"SQLite, React, Pandas, Rust, Redis, BigQuery, Laravel, Cassandra, Ruby on Rails, PyTorch",42.5,67700.0,8,Sí,18/05/2025
2,33,Femenino,10,Lead,Grado Universitario,Híbrido (Barcelona),Sí,Kotlin,Symfony,Elasticsearch,"Symfony, Scala, Spring Boot, Swift, Kotlin, Elasticsearch, PyTorch",37.5,62200.0,8,No,18/05/2025
4,48,Masculino,2,Semisenior,Grado Universitario,Híbrido (Barcelona),Sí,Rust,Spring Boot,MariaDB,"InfluxDB, AWS, Ruby, Scala, Spring Boot, Rust, Couchbase, Swift, MariaDB, Google Cloud, Jenkins, Docker, FastAPI",55.0,34800.0,4,No,18/05/2025
4,29,Femenino,6,Senior,Autodidacta,Alicante,No,Dart,Express.js,SQL Server,"C++, SQL Server, Dart, Ruby, JavaScript, Express.js, C#",37.5,55100.0,7,Sí,18/05/2025
3,51,Masculino,6,Senior,Grado Universitario,Remoto (Europa),Sí,Java,Symfony,Cassandra,"Symfony, Firebase, Postman, Java, Spring Boot, GitHub Actions, Rust, Docker, Cassandra, Kotlin, JavaScript, C#",45.0,44600.0,9,Sí,18/05/2025
1,32,Masculino,10,Lead,Doctorado,Madrid,No,TypeScript,Laravel,BigQuery,"Snowflake, Flask, MariaDB, Docker, BigQuery, Laravel, TypeScript, Express.js, PyTorch, FastAPI",37.5,66800.0,9,No,18/05/2025
4,25,Masculino,3,Semisenior,Grado Universitario,Las Palmas,No,C++,Laravel,Couchbase,"C++, Flutter, SQL Server, InfluxDB, Confluence, Vue.js, TensorFlow, SonarQube, Ansible, Couchbase, Google Cloud, Laravel, ASP.NET, Go, JavaScript, C#, FastAPI",40.0,32800.0,6,Sí,18/05/2025
3,47,Femenino,22,Principal,Autodidacta,Híbrido (Barcelona),Sí,Scala,React,Redis,"React, PHP, Postman, Ruby, Scala, Jenkins, Google Cloud, Redis, Ruby on Rails",42.5,110300.0,6,No,18/05/2025
4,45,Femenino,2,Semisenior,Grado Universitario,Madrid,No,Java,Next.js,MongoDB,"Kubernetes, TensorFlow, Next.js, Java, Grafana, MongoDB, Jenkins, R, Express.js",40.0,35100.0,5,Sí,18/05/2025
3,48,Femenino,3,Semisenior,Grado Universitario,Remoto (Europa),Sí,C++,Vue.js,MySQL,"C++, Dart, Vue.js, Ruby, GitHub Actions, MySQL, Terraform, Prometheus",50.0,31600.0,5,Sí,18/05/2025
1,33,Masculino,7,Senior,Máster,Málaga,No,TypeScript,Express.js,BigQuery,"Symfony, Flask, GitHub Actions, Django, Rust, BigQuery, ASP.NET, Kotlin, TypeScript, Express.js, Angular",42.5,51800.0,6,No,18/05/2025
5,34,Femenino,12,Staff,Máster,Híbrido (Madrid),Sí,Go,Angular,Firebase,"SQLite, SQL Server, React, SonarQube, AWS, Ansible, Django, Docker, BigQuery, Laravel, Go, Firebase, Angular",40.0,81200.0,3,Sí,18/05/2025
1,32,Masculino,10,Lead,Autodidacta,Sevilla,No,Kotlin,Vue.js,DynamoDB,"Symfony, Vue.js, DynamoDB, Next.js, Django, MySQL, ELK Stack, Redis, ASP.NET, Kotlin, Elasticsearch, FastAPI",40.0,66500.0,8,No,18/05/2025
2,54,Femenino,10,Lead,Grado Universitario,Murcia,No,Swift,Laravel,MySQL,"AWS, GitHub Actions, MySQL, Swift, Laravel, Kotlin, Go, TypeScript",42.5,64000.0,8,Sí,18/05/2025
3,44,Masculino,22,Principal,Grado Universitario,Sevilla,No,JavaScript,Ruby on Rails,MySQL,"Flutter, SQL Server, Dart, PHP, Oracle, Scala, Spring Boot, Couchbase, MySQL, ASP.NET, JavaScript, Ruby on Rails",35.0,117800.0,9,No,18/05/2025
2,53,Masculino,14,Staff,Máster,Híbrido (Barcelona),Sí,Java,FastAPI,PostgreSQL,"React, Vue.js, DynamoDB, Flask, PostgreSQL, Java, Redis, FastAPI",40.0,86800.0,7,No,18/05/2025
1,53,Masculino,20,Principal,Autodidacta,Málaga,No,Scala,Flutter,DynamoDB,"Flutter, C++, React, TensorFlow, DynamoDB, Scala, BigQuery, ASP.NET, R, PyTorch",40.0,94100.0,8,No,18/05/2025
4,52,Masculino,12,Staff,Grado Universitario,Remoto,Sí,Swift,Symfony,Redis,"Symfony, Dart, Oracle, Rust, MongoDB, Swift, Jenkins, Redis, Git, Laravel, ELK Stack, Python, Prometheus",37.5,88100.0,7,No,18/05/2025
4,46,Masculino,17,Principal,Bootcamp,Málaga,No,JavaScript,Ruby on Rails,MongoDB,"Jira, Kubernetes, Express.js, PostgreSQL, Java, Scala, MongoDB, Laravel, JavaScript, Python, Terraform, Prometheus, Ruby on Rails",42.5,110600.0,10,No,18/05/2025
1,36,Masculino,14,Staff,Grado Superior,Madrid,No,Go,Laravel,Neo4j,"Pandas, Neo4j, Spring Boot, GitHub Actions, Redis, Laravel, ASP.NET, Go, TypeScript, FastAPI, Angular",40.0,86100.0,7,Sí,18/05/2025
2,46,Masculino,5,Senior,Bootcamp,Málaga,No,C#,Django,InfluxDB,"C++, Jira, InfluxDB, Vue.js, Django, ELK Stack, ASP.NET, Go, C#",37.5,44200.0,6,Sí,18/05/2025
2,61,Masculino,8,Lead,Bootcamp,Sevilla,No,Python,Flask,Snowflake,"Flutter, React, Pandas, Oracle, Snowflake, Flask, Scala, Spring Boot, GitHub Actions, Docker, Kotlin, Python, Angular",50.0,70700.0,6,Sí,18/05/2025
2,64,Masculino,5,Senior,Grado Universitario,Híbrido (Madrid),Sí,C#,Django,BigQuery,"InfluxDB, Django, BigQuery, Go, Python, Elasticsearch, C#, FastAPI, Angular",45.0,53000.0,6,Sí,18/05/2025
3,58,Masculino,7,Senior,Grado Superior,Málaga,No,Python,Django,Cassandra,"SQL Server, PHP, Django, Swift, MariaDB, Cassandra, JavaScript, Python, Elasticsearch",42.5,49200.0,7,Sí,18/05/2025
1,64,Masculino,15,Principal,Grado Superior,Remoto (España),Sí,JavaScript,Spring Boot,Snowflake,"Dart, Flask, Ruby, Spring Boot, Swift, Kotlin, JavaScript, Snowflake",42.5,103700.0,10,No,18/05/2025
4,23,Masculino,1,Junior,Grado Superior,Alicante,No,Swift,Vue.js,MySQL,"Flutter, Symfony, Dart, Vue.js, Next.js, MySQL, Swift, Ruby on Rails",40.0,21100.0,7,Sí,18/05/2025
4,52,Masculino,1,Junior,Grado Universitario,Remoto (España),Sí,Ruby,Express.js,PostgreSQL,"C++, SQLite, Confluence, Pandas, TensorFlow, PostgreSQL, Ruby, Grafana, Laravel, Express.js, PyTorch, Prometheus",40.0,20400.0,5,Sí,18/05/2025
1,30,Masculino,8,Lead,Grado Universitario,Málaga,No,Go,Express.js,MariaDB,"Flutter, SQL Server, PostgreSQL, Django, MariaDB, Google Cloud, ASP.NET, Go, Express.js, Angular",40.0,63200.0,4,No,18/05/2025
4,64,Femenino,23,Principal,Grado Universitario,Remoto (Europa),Sí,Swift,Express.js,DynamoDB,"DynamoDB, Ruby, Ansible, Rust, Couchbase, Swift, Google Cloud, TypeScript, Express.js, Terraform, Elasticsearch",40.0,121700.0,8,Sí,18/05/2025
2,31,Femenino,8,Lead,Grado Universitario,Murcia,No,Kotlin,Ruby on Rails,Couchbase,"Oracle, Couchbase, Kotlin, TypeScript, Ruby on Rails, R, Snowflake, JavaScript",40.0,59800.0,7,Sí,18/05/2025
4,25,Masculino,3,Semisenior,Grado Universitario,Híbrido (Barcelona),Sí,JavaScript,Flutter,Redis,"Flutter, Symfony, Dart, Postman, TensorFlow, Django, ELK Stack, Redis, TypeScript, JavaScript, Terraform, Firebase, Ruby on Rails",42.5,36600.0,7,Sí,18/05/2025
5,29,Masculino,7,Senior,Grado Superior,Málaga,No,Rust,Django,Cassandra,"PHP, GitHub Actions, Django, Rust, MariaDB, Git, Cassandra, Kotlin, JavaScript, Terraform, Prometheus",42.5,51600.0,7,No,18/05/2025
2,32,Femenino,10,Lead,Doctorado,Zaragoza,No,Python,Flutter,Neo4j,"Flutter, React, Pandas, Neo4j, Ruby, Rust, TypeScript, Python",40.0,61200.0,6,Sí,18/05/2025
6,45,Masculino,7,Senior,Autodidacta,Remoto (España),Sí,Swift,FastAPI,SQL Server,"Flutter, Symfony, SQL Server, Jira, Kubernetes, Ansible, Rust, Couchbase, Swift, ELK Stack, BigQuery, Azure, Express.js, Elasticsearch, FastAPI, Angular",45.0,56200.0,9,No,18/05/2025
2,51,Masculino,20,Principal,Bootcamp,Bilbao,No,Python,Ruby on Rails,Redis,"Symfony, Next.js, Java, Redis, Go, Ruby on Rails, Python",42.5,102600.0,6,No,18/05/2025
6,24,No binario,2,Semisenior,Grado Superior,Remoto (Europa),Sí,TypeScript,ASP.NET,Oracle,"Symfony, Oracle, Dart, Java, Ansible, Jenkins, Git, Docker, BigQuery, ASP.NET, TypeScript, JavaScript, R, Terraform",40.0,30300.0,3,No,18/05/2025
1,50,Prefiero no decirlo,17,Principal,Grado Universitario,Remoto (España),Sí,JavaScript,Django,BigQuery,"C++, Flutter, React, DynamoDB, Spring Boot, Django, Git, BigQuery, Laravel, JavaScript, Elasticsearch, Ruby on Rails",42.5,93200.0,9,No,18/05/2025
4,52,Masculino,24,Principal,Grado Superior,Remoto,Sí,JavaScript,TensorFlow,Redis,"Confluence, Symfony, Dart, Postman, TensorFlow, Ansible, MySQL, Docker, Redis, JavaScript, Express.js",42.5,117800.0,7,No,18/05/2025
2,34,Femenino,12,Staff,Grado Superior,Híbrido (Madrid),Sí,PHP,Pandas,InfluxDB,"Jira, PHP, Pandas, InfluxDB, Vue.js, Spring Boot, Swift, ELK Stack, ASP.NET, C#, FastAPI, Angular",45.0,77700.0,7,No,18/05/2025
5,39,Masculino,17,Principal,Doctorado,Sevilla,No,JavaScript,TensorFlow,Cassandra,"C++, SQLite, Kubernetes, Postman, TensorFlow, PostgreSQL, Ruby, Jenkins, Git, Laravel, Cassandra, JavaScript, Terraform",40.0,103900.0,7,No,18/05/2025
2,48,Masculino,23,Principal,Grado Superior,Híbrido (Madrid),Sí,C#,Express.js,Oracle,"C++, Jira, Oracle, Pandas, Java, Docker, Express.js, C#",45.0,104600.0,10,No,18/05/2025
4,53,Masculino,10,Lead,Grado Superior,Bilbao,No,Kotlin,FastAPI,Couchbase,"C++, Dart, SonarQube, TensorFlow, Next.js, PostgreSQL, Ansible, Couchbase, Google Cloud, ELK Stack, BigQuery, Laravel, Kotlin, PyTorch, FastAPI",40.0,70800.0,5,No,18/05/2025
2,62,Femenino,17,Principal,Doctorado,Híbrido (Barcelona),Sí,Kotlin,TensorFlow,MongoDB,"Symfony, Dart, Pandas, TensorFlow, InfluxDB, Flask, Scala, MongoDB, Kotlin, Cassandra, Azure, Terraform, C#",40.0,89600.0,6,Sí,18/05/2025
3,58,Femenino,15,Principal,Grado Universitario,Remoto,Sí,Ruby,Flask,Firebase,"Flask, Ruby, Django, Swift, Kotlin, Ruby on Rails, Firebase",40.0,101300.0,10,No,18/05/2025
4,50,Femenino,20,Principal,Grado Superior,Híbrido (Barcelona),Sí,JavaScript,Flask,DynamoDB,"Symfony, DynamoDB, Flask, Django, JavaScript, Angular, Ruby on Rails",40.0,93400.0,7,No,18/05/2025
2,41,Masculino,14,Staff,Grado Superior,Las Palmas,No,R,Laravel,MongoDB,"React, Ruby, Ansible, MongoDB, Laravel, Ruby on Rails, R, Express.js, Prometheus",40.0,93900.0,6,No,18/05/2025
2,47,Masculino,14,Staff,Grado Universitario,Las Palmas,No,Scala,Ruby on Rails,Firebase,"Kubernetes, Firebase, React, Scala, MySQL, ELK Stack, Ruby on Rails, Elasticsearch, C#",40.0,80500.0,9,Sí,18/05/2025
4,55,Femenino,24,Principal,Doctorado,Remoto (Europa),Sí,Python,Django,SQL Server,"SQL Server, SonarQube, TensorFlow, Neo4j, DynamoDB, Snowflake, Django, Git, ASP.NET, Azure, Python, PyTorch, FastAPI, Prometheus",40.0,102800.0,7,Sí,18/05/2025
2,57,Masculino,8,Lead,Autodidacta,Híbrido (Madrid),Sí,Java,React,PostgreSQL,"Flutter, React, Vue.js, TensorFlow, PostgreSQL, Java, Grafana, Couchbase, C#",37.5,59000.0,4,No,18/05/2025
2,30,Masculino,3,Semisenior,Grado Universitario,Bilbao,No,Rust,TensorFlow,SQLite,"Flutter, SQLite, Kubernetes, TensorFlow, Scala, GitHub Actions, Rust, MySQL, BigQuery, ASP.NET, Laravel, Ruby on Rails",40.0,33900.0,8,No,18/05/2025
6,35,Masculino,13,Staff,Grado Universitario,Remoto (España),Sí,JavaScript,ASP.NET,MongoDB,"Confluence, Jira, Dart, Scala, MongoDB, Google Cloud, ELK Stack, ASP.NET, Go, JavaScript, Terraform",40.0,86900.0,9,No,18/05/2025
6,39,Masculino,16,Principal,Bootcamp,Madrid,No,Swift,Ruby on Rails,Elasticsearch,"Confluence, Kubernetes, Postman, PostgreSQL, Spring Boot, GitHub Actions, Swift, ELK Stack, Kotlin, TypeScript, Ruby on Rails, Express.js, Elasticsearch",40.0,103800.0,9,No,18/05/2025
4,62,Femenino,9,Lead,Grado Universitario,Remoto,Sí,Swift,Express.js,MySQL,"Symfony, Prometheus, AWS, TensorFlow, Next.js, Scala, Jenkins, MySQL, Swift, Laravel, Azure, R, Express.js, Angular",42.5,64400.0,5,Sí,18/05/2025
3,22,Masculino,0,Junior,Grado Universitario,Híbrido (Barcelona),Sí,Swift,Flutter,Couchbase,"Flutter, Symfony, SonarQube, TensorFlow, Flask, Ansible, Couchbase, Swift, ELK Stack, Ruby on Rails, FastAPI",37.5,25000.0,6,Sí,18/05/2025
3,58,Masculino,18,Principal,Grado Superior,Murcia,No,Dart,Django,MySQL,"Kubernetes, Dart, Postman, Next.js, Django, Rust, MongoDB, MySQL, ELK Stack, Elasticsearch",42.5,90100.0,8,Sí,18/05/2025
1,47,Masculino,25,Principal,Máster,Híbrido (Barcelona),Sí,R,Laravel,Snowflake,"Jira, PHP, Spring Boot, Redis, Laravel, Kotlin, Cassandra, R, Snowflake, PyTorch, Angular",40.0,108700.0,7,No,18/05/2025
2,58,Masculino,12,Staff,Grado Universitario,Zaragoza,No,PHP,Flutter,Redis,"Flutter, PHP, Oracle, TensorFlow, Ansible, Couchbase, Redis, Cassandra, Azure, Angular",55.0,83400.0,8,No,18/05/2025
4,23,Masculino,1,Junior,Grado Superior,Remoto (Europa),Sí,TypeScript,Symfony,Redis,"C++, Symfony, Kubernetes, InfluxDB, Neo4j, Google Cloud, Git, Redis, ELK Stack, TypeScript",40.0,25300.0,5,Sí,18/05/2025
79,38,Masculino,16,Principal,Grado Universitario,Remoto,Sí,TypeScript,TensorFlow,Firebase,"Firebase, TensorFlow, TypeScript",45.0,103300.0,6,No,18/05/2025
6,39,Masculino,2,Semisenior,Grado Superior,Alicante,No,Scala,Symfony,MongoDB,"Jira, Symfony, SQLite, SQL Server, AWS, SonarQube, Scala, GitHub Actions, Rust, MongoDB, Google Cloud, Ansible, ASP.NET, TypeScript, JavaScript, PyTorch",40.0,32700.0,5,No,18/05/2025
4,41,Femenino,19,Principal,Autodidacta,Zaragoza,No,Kotlin,Laravel,Cassandra,"AWS, GitHub Actions, Git, Laravel, Cassandra, Kotlin, Elasticsearch",37.5,105500.0,10,Sí,18/05/2025
2,26,Masculino,2,Semisenior,Grado Superior,Remoto,Sí,TypeScript,Spring Boot,PostgreSQL,"Vue.js, PostgreSQL, Spring Boot, Swift, Docker, Go, TypeScript, R, Snowflake, Terraform",40.0,31500.0,5,Sí,18/05/2025
1,53,Femenino,7,Senior,Bootcamp,Madrid,No,Ruby,ASP.NET,Elasticsearch,"Flask, Ruby, Jenkins, ASP.NET, Elasticsearch, Angular",35.0,53500.0,6,No,18/05/2025
6,41,Masculino,19,Principal,Grado Superior,Remoto (España),Sí,Ruby,PyTorch,Neo4j,"Confluence, Symfony, Kubernetes, Oracle, AWS, Neo4j, PostgreSQL, Ruby, Spring Boot, Ansible, ELK Stack, ASP.NET, Snowflake, PyTorch, FastAPI, Angular",35.0,94300.0,7,No,18/05/2025
1,27,Femenino,3,Semisenior,Bootcamp,Híbrido (Madrid),Sí,Go,Spring Boot,PostgreSQL,"C++, Flutter, Dart, PostgreSQL, Ruby, Spring Boot, Go",37.5,32600.0,5,Sí,18/05/2025
1,42,Masculino,11,Lead,Grado Universitario,Sevilla,No,C++,Symfony,Oracle,"C++, Symfony, Oracle, Postman, Vue.js, Java, Scala, Spring Boot, Couchbase, ASP.NET, R",40.0,73400.0,9,No,18/05/2025
6,51,Femenino,5,Senior,Grado Universitario,Madrid,No,Go,Flutter,DynamoDB,"Flutter, SQL Server, React, SonarQube, TensorFlow, DynamoDB, Vue.js, Kubernetes, AWS, GitHub Actions, Go, PyTorch, Prometheus",37.5,52100.0,7,Sí,18/05/2025
1,35,Masculino,13,Staff,Grado Superior,Remoto,Sí,Dart,Vue.js,SQL Server,"Flutter, SQLite, SQL Server, PHP, Dart, Vue.js, React, PostgreSQL, Ruby, Spring Boot, GitHub Actions, Couchbase, Go, FastAPI",45.0,93700.0,9,No,18/05/2025
3,29,No binario,7,Senior,Grado Universitario,Málaga,No,PHP,Vue.js,BigQuery,"PHP, AWS, Vue.js, Next.js, Scala, BigQuery, Go, Ruby on Rails, Terraform, FastAPI",40.0,45100.0,8,Sí,18/05/2025
6,60,Masculino,2,Semisenior,Grado Superior,Sevilla,No,R,Next.js,Couchbase,"Flutter, Jira, React, AWS, Neo4j, Next.js, Scala, GitHub Actions, Couchbase, Jenkins, MariaDB, Google Cloud, Cassandra, TypeScript, JavaScript, R, Express.js, Ruby on Rails",37.5,33600.0,4,Sí,18/05/2025
2,36,Femenino,14,Staff,Grado Superior,Madrid,No,Dart,Django,Redis,"Dart, React, SonarQube, DynamoDB, Ruby, Django, Google Cloud, Redis, R, Elasticsearch",42.5,94400.0,8,Sí,18/05/2025
3,55,Masculino,13,Staff,Grado Universitario,Málaga,No,Kotlin,FastAPI,DynamoDB,"Jira, PHP, DynamoDB, Scala, Google Cloud, Kotlin, Azure, FastAPI",40.0,72500.0,5,No,18/05/2025
1,40,Masculino,2,Semisenior,Bootcamp,Zaragoza,No,R,Spring Boot,MariaDB,"Spring Boot, GitHub Actions, MongoDB, MariaDB, Cassandra, R, Snowflake",40.0,35000.0,5,Sí,18/05/2025
1,24,Masculino,2,Semisenior,Grado Superior,Málaga,No,JavaScript,Flask,InfluxDB,"InfluxDB, AWS, Neo4j, Flask, DynamoDB, Spring Boot, MongoDB, ASP.NET, JavaScript, C#, Ruby on Rails",40.0,37500.0,6,Sí,18/05/2025
3,26,Femenino,4,Senior,Grado Universitario,Murcia,No,TypeScript,Flutter,Elasticsearch,"Flutter, React, Flask, Azure, Docker, TypeScript, Ruby on Rails, Elasticsearch, C#, Angular",40.0,48800.0,3,Sí,18/05/2025
4,40,Femenino,18,Principal,Bootcamp,Híbrido (Madrid),Sí,Rust,Laravel,Snowflake,"Confluence, PHP, React, Postman, Scala, Rust, ELK Stack, Docker, Laravel, TypeScript, Snowflake, Python, Elasticsearch",40.0,97500.0,8,Sí,18/05/2025
2,26,Femenino,3,Semisenior,Doctorado,Bilbao,No,Rust,Vue.js,Redis,"Vue.js, Snowflake, Ruby, Rust, Swift, Redis, Python",40.0,35100.0,4,Sí,18/05/2025
6,52,Masculino,13,Staff,Bootcamp,Remoto (Europa),Sí,Go,Express.js,Elasticsearch,"Jira, Kubernetes, AWS, Postman, GitHub Actions, Django, ELK Stack, Go, R, Express.js, Elasticsearch, FastAPI",42.5,83700.0,7,No,18/05/2025
4,48,Femenino,15,Principal,Máster,Alicante,No,Kotlin,Next.js,Elasticsearch,"Kubernetes, Next.js, Ruby, Grafana, Docker, Kotlin, TypeScript, R, Terraform, Elasticsearch",40.0,91300.0,8,No,18/05/2025
